time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-28T11:03:48.489Z,42.0188,-126.1219,10,4.5,mb,,251,1.423,1.05,us,us70006rvc,2020-02-10T06:14:13.040Z,"146km WSW of Gold Beach, Oregon",earthquake,7.8,2,0.06,80,reviewed,us,us
2019-12-28T10:24:59.512Z,42.0357,-126.1113,10,4.5,mb,,231,1.413,1.09,us,us70006rv7,2020-02-05T08:26:29.040Z,"145km WSW of Gold Beach, Oregon",earthquake,3.6,2,0.05,119,reviewed,us,us
2019-12-19T15:30:12.980Z,40.2758333,-124.3633333,21.4,4.06,mw,28,231,0.02026,0.07,nc,nc73316566,2020-01-29T15:45:57.040Z,"9km SW of Petrolia, CA",earthquake,0.55,0.18,,4,reviewed,nc,nc
2019-12-13T20:08:21.794Z,41.8758,-126.9856,10,3.2,ml,,203,2.082,0.72,us,us70006nru,2020-01-15T19:38:05.040Z,"220km WSW of Gold Beach, Oregon",earthquake,9.5,2,0.043,71,reviewed,us,us
2019-12-07T04:27:59.200Z,40.2808333,-124.3091667,19.73,3.07,ml,25,151,0.02667,0.07,nc,nc73312361,2020-02-29T19:52:44.040Z,"5km SSW of Petrolia, CA",earthquake,0.58,0.38,0.223,19,reviewed,nc,nc
2019-12-06T18:04:34.790Z,40.4048333,-124.678,21.28,2.82,md,43,236,0.2693,0.15,nc,nc73312236,2019-12-12T04:50:03.410Z,"34km WNW of Petrolia, CA",earthquake,0.69,0.4,0.175,43,reviewed,nc,nc
2019-11-30T04:58:27.190Z,42.7775,-124.4725,16.13,3.54,ml,14,140,,0.2,uw,uw61562171,2020-02-19T18:58:22.040Z,"4km NNE of Port Orford, Oregon",earthquake,0.39,0.85,0.150742453951227,11,reviewed,uw,uw
2019-11-30T01:45:12.620Z,42.776,-124.476666666667,16.65,4.53,ml,15,142,,0.25,uw,uw61562126,2020-02-19T18:58:22.040Z,"3km NNE of Port Orford, Oregon",earthquake,0.4,0.79,0.124880414425303,10,reviewed,uw,uw
2019-11-23T11:45:17.550Z,40.4765,-124.4761667,24.46,2.58,md,34,221,0.1058,0.13,nc,nc73307816,2019-12-05T08:29:03.715Z,"21km WSW of Ferndale, CA",earthquake,0.82,0.53,0.197,40,reviewed,nc,nc
2019-11-21T17:51:54.470Z,40.3171667,-124.6793333,20.71,2.56,md,32,247,0.2591,0.16,nc,nc73307086,2019-12-02T22:23:02.791Z,"33km W of Petrolia, CA",earthquake,1.29,0.56,0.152,21,reviewed,nc,nc
2019-11-13T18:05:22.100Z,40.367,-125.0301667,7.68,3.09,ml,41,252,0.5315,0.19,nc,nc73303141,2020-02-07T20:20:41.040Z,"63km W of Petrolia, CA",earthquake,0.82,1.82,0.252,56,reviewed,nc,nc
2019-11-13T11:13:36.903Z,40.3858,-126.6064,10,2.6,ml,,266,1.733,0.78,us,us60006b17,2020-02-07T20:20:34.040Z,"199km W of Ferndale, California",earthquake,5.4,2,0.05,53,reviewed,us,us
2019-11-04T14:52:43.120Z,40.2878333,-124.5016667,20.07,2.82,md,28,242,0.1217,0.11,nc,nc73300650,2019-11-08T06:09:05.033Z,"19km WSW of Petrolia, CA",earthquake,0.63,0.29,0.145,52,reviewed,nc,nc
2019-10-31T12:46:54.800Z,40.3143333,-124.2505,32.13,3.21,ml,34,58,0.02695,0.13,nc,nc73299195,2020-01-18T20:00:49.040Z,"3km ESE of Petrolia, CA",earthquake,0.53,0.55,0.381,75,reviewed,nc,nc
2019-10-28T11:46:34.180Z,41.8741667,-125.8391667,9.99,3.58,ml,14,290,1.234,0.2,nc,nc73298155,2020-01-11T21:26:52.040Z,"130km W of Brookings, OR",earthquake,2.57,31.61,0.253,75,reviewed,nc,nc
2019-10-28T11:01:04.330Z,41.8911667,-125.8366667,9.99,5.24,mw,36,264,1.234,0.2,nc,nc73298125,2020-02-17T11:11:17.054Z,"130km W of Brookings, OR",earthquake,1.37,31.61,,4,reviewed,nc,nc
2019-10-24T14:30:40.080Z,40.4455,-124.71,22.28,2.77,md,24,293,0.2858,0.19,nc,nc73296250,2019-11-01T20:43:03.237Z,"38km WNW of Petrolia, CA",earthquake,1.7,1.25,0.205,29,reviewed,nc,nc
2019-10-18T07:11:52.890Z,40.4735,-124.1778333,26.68,2.88,md,27,56,0.06586,0.09,nc,nc73293740,2019-10-18T17:21:04.422Z,"7km WSW of Rio Dell, CA",earthquake,0.34,0.68,0.158,62,reviewed,nc,nc
